Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	RateAC-Standard_TIM1.1	RateAG-Standard_TIM1.1	RateAT-Standard_TIM1.1	RateCG-Standard_TIM1.1	RateCT-Standard_TIM1.1	RateGT-Standard_TIM1.1	mutationRate.1	gammaShape.1	mutationRate.2	gammaShape.2	RateAC-Standard_TIM1.2	RateAG-Standard_TIM1.2	RateAT-Standard_TIM1.2	RateCG-Standard_TIM1.2	RateCT-Standard_TIM1.2	RateGT-Standard_TIM1.2	RateAC-Standard_TIM1.3	RateAG-Standard_TIM1.3	RateAT-Standard_TIM1.3	RateCG-Standard_TIM1.3	RateCT-Standard_TIM1.3	RateGT-Standard_TIM1.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	clockRate	
0	-8266.789825490505	-7794.9526016307	-471.8372238598058	-1089.8572487726854	-5271.555057757603	215.73292034396664	1811.1571415191972	-1433.5402951004114	0.4330359164212246	1.281173051709037	0.06093406296661344	0.06093406296661344	3.730886989515281	0.4330359164212246	0.001	0.14202613575347434	0.001	0.1011201702226896	0.15757957609668344	2.3465831497481813	0.016638283317298233	0.016638283317298233	3.30498113142386	0.15757957609668344	0.1476241515213486	2.10678628674316	0.21308127355954076	0.21308127355954076	3.1718028630950648	0.1476241515213486	0.001	0.9846640976042371	149.74225402739458	-465.60049794659506	1.282237731633557	
1	-8270.333346268631	-7794.08978828093	-476.24355798770046	-1088.7548648940103	-5270.305619740325	209.3707855155548	1790.8485087547426	-1435.0293036465955	0.3372950648625798	1.4478293684544674	0.06093406296661344	0.06093406296661344	3.7557123758871405	0.3372950648625798	0.001	0.14202613575347434	0.001	0.1011201702226896	0.0919816911627937	2.502382571040386	0.016638283317298233	0.016638283317298233	3.2803774799994345	0.0919816911627937	0.13850874474118097	2.0382131823800465	0.23242258355995837	0.23242258355995837	3.219924161017678	0.13850874474118097	0.001	0.6810168877482956	135.14922856573776	-470.41301522925545	1.282237731633557	
2	-8270.333346268631	-7794.08978828093	-476.24355798770046	-1088.7548648940103	-5270.305619740325	209.3707855155548	1790.8485087547426	-1435.0293036465955	0.3372950648625798	1.4478293684544674	0.06093406296661344	0.06093406296661344	3.7557123758871405	0.3372950648625798	0.001	0.14202613575347434	0.001	0.1011201702226896	0.0919816911627937	2.502382571040386	0.016638283317298233	0.016638283317298233	3.2803774799994345	0.0919816911627937	0.13850874474118097	2.0382131823800465	0.23242258355995837	0.23242258355995837	3.219924161017678	0.13850874474118097	0.001	0.6810168877482956	135.14922856573776	-470.41301522925545	1.282237731633557	
3	-8260.275217477023	-7791.5086144143115	-468.7666030627122	-1092.3824987995638	-5262.760272749462	239.87417601338117	1816.741085859486	-1436.3658428652852	0.3009609700187944	1.458869460563483	0.08489344188095484	0.08489344188095484	3.7694217156370127	0.3009609700187944	0.001	0.14202613575347434	0.001	0.1011201702226896	0.0919816911627937	2.453257766457603	0.00266098505490411	0.00266098505490411	3.3574568811070056	0.0919816911627937	0.13850874474118097	2.000430953445897	0.25131369802703313	0.25131369802703313	3.219924161017678	0.13850874474118097	0.001	0.6810168877482956	165.8268946045522	-462.7314954283161	1.2826907205659703	
4	-8260.275217477023	-7791.5086144143115	-468.7666030627122	-1092.3824987995638	-5262.760272749462	239.87417601338117	1816.741085859486	-1436.3658428652852	0.3009609700187944	1.458869460563483	0.08489344188095484	0.08489344188095484	3.7694217156370127	0.3009609700187944	0.001	0.14202613575347434	0.001	0.1011201702226896	0.0919816911627937	2.453257766457603	0.00266098505490411	0.00266098505490411	3.3574568811070056	0.0919816911627937	0.13850874474118097	2.000430953445897	0.25131369802703313	0.25131369802703313	3.219924161017678	0.13850874474118097	0.001	0.6810168877482956	165.8268946045522	-462.7314954283161	1.2826907205659703	
5	-8260.275217477023	-7791.5086144143115	-468.7666030627122	-1092.3824987995638	-5262.760272749462	239.87417601338117	1816.741085859486	-1436.3658428652852	0.3009609700187944	1.458869460563483	0.08489344188095484	0.08489344188095484	3.7694217156370127	0.3009609700187944	0.001	0.14202613575347434	0.001	0.1011201702226896	0.0919816911627937	2.453257766457603	0.00266098505490411	0.00266098505490411	3.3574568811070056	0.0919816911627937	0.13850874474118097	2.000430953445897	0.25131369802703313	0.25131369802703313	3.219924161017678	0.13850874474118097	0.001	0.6810168877482956	165.8268946045522	-462.7314954283161	1.2826907205659703	
6	-8260.275217477023	-7791.5086144143115	-468.7666030627122	-1092.3824987995638	-5262.760272749462	239.87417601338117	1816.741085859486	-1436.3658428652852	0.3009609700187944	1.458869460563483	0.08489344188095484	0.08489344188095484	3.7694217156370127	0.3009609700187944	0.001	0.14202613575347434	0.001	0.1011201702226896	0.0919816911627937	2.453257766457603	0.00266098505490411	0.00266098505490411	3.3574568811070056	0.0919816911627937	0.13850874474118097	2.000430953445897	0.25131369802703313	0.25131369802703313	3.219924161017678	0.13850874474118097	0.001	0.6810168877482956	165.8268946045522	-462.7314954283161	1.2826907205659703	
7	-8254.43128031021	-7791.498559645216	-462.9327206649933	-1089.9189414960167	-5265.543811243019	238.68825181879436	1727.4666679137047	-1436.03580690618	0.344769555824565	1.6815728482916277	0.07071667222375946	0.07071667222375946	3.487454695611717	0.344769555824565	0.001	0.14202613575347434	0.001	0.10291643821137271	0.12711619017989312	2.10685770548438	0.07021211933633537	0.07021211933633537	3.4984856754831686	0.12711619017989312	0.14196509897438137	1.9521157334987653	0.260162024674077	0.260162024674077	3.2436300192043204	0.14196509897438137	0.001	0.9031054039705855	152.78186064476088	-456.75566153043025	1.351706342786075	
8	-8256.669078610808	-7790.499917216652	-466.169161394156	-1089.9429315610303	-5261.024718521466	239.9117343874591	1792.0391940676532	-1439.5322671341553	0.2915145016899247	1.7334738839125658	0.04657087647731441	0.04657087647731441	3.59035535975295	0.2915145016899247	0.001	0.146122416620003	0.001	0.10291643821137271	0.16460964246864712	2.032580284796957	0.07021211933633537	0.07021211933633537	3.497776191593083	0.16460964246864712	0.14196509897438137	2.0468932512537967	0.21683036835642283	0.21683036835642283	3.2355158140845974	0.14196509897438137	0.001	0.9031054039705855	145.76163037358495	-460.03504451657574	1.4006230327435778	
9	-8260.732712468585	-7790.407614469977	-470.32509799860924	-1089.5533797931605	-5256.93530765762	201.80093766331282	1728.1506528820241	-1443.9189270191964	0.2915145016899247	1.7443186159948192	0.04657087647731441	0.04657087647731441	3.5795106276706967	0.2915145016899247	0.001	0.146122416620003	0.001	0.10291643821137271	0.16310682112664499	2.3651321988217022	0.030831568602542214	0.030831568602542214	3.246991021719929	0.16310682112664499	0.14817387537117716	2.0274546191537732	0.21742849409466633	0.21742849409466633	3.2413406419145425	0.14817387537117716	0.001	0.9031054039705855	191.28367625874907	-463.9191961975887	1.4006230327435778	
