Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	RateAC-Standard_TIM1.1	RateAG-Standard_TIM1.1	RateAT-Standard_TIM1.1	RateCG-Standard_TIM1.1	RateCT-Standard_TIM1.1	RateGT-Standard_TIM1.1	mutationRate.1	gammaShape.1	mutationRate.2	gammaShape.2	RateAC-Standard_TIM1.2	RateAG-Standard_TIM1.2	RateAT-Standard_TIM1.2	RateCG-Standard_TIM1.2	RateCT-Standard_TIM1.2	RateGT-Standard_TIM1.2	RateAC-Standard_TIM1.3	RateAG-Standard_TIM1.3	RateAT-Standard_TIM1.3	RateCG-Standard_TIM1.3	RateCT-Standard_TIM1.3	RateGT-Standard_TIM1.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	clockRate	
0	-8245.971960155797	-7804.095862897102	-441.8760972586947	-1089.1730818910048	-5276.438258626027	164.51669179032143	1296.1347423899088	-1438.4845223800696	0.4783597462478878	1.7111982129265657	0.05601247098841068	0.05601247098841068	3.2200573526008327	0.4783597462478878	0.001	0.10620258819292032	0.001	0.1011201702226896	0.13705654159822053	2.0338105038696512	0.0011640196336109715	0.0011640196336109715	3.689748373666691	0.13705654159822053	0.1721309098240587	1.9836762763481148	0.1901590080388583	0.1901590080388583	3.2917438879260543	0.1721309098240587	0.001	0.7313155706226655	106.32995544718248	-436.2709118829987	1.795963889370801	
1	-8267.211918727322	-7791.461045011417	-475.7508737159048	-1096.4791359357207	-5253.058001968762	231.63342360184419	1882.6474123511018	-1441.9239071069342	0.3244039803872208	1.6138049282485665	0.08760822325564992	0.08760822325564992	3.562170664465686	0.3244039803872208	0.001	0.14202613575347434	0.001	0.1011201702226896	0.16730391954101095	2.3114300089188315	0.04740121604400745	0.04740121604400745	3.2591597199111373	0.16730391954101095	0.10060048856217095	1.9891465131896182	0.24820754541485143	0.24820754541485143	3.31323741885634	0.10060048856217095	0.001	0.9031054039705855	192.42231264284126	-469.3449295043733	1.351706342786075	
2	-8267.211918727322	-7791.461045011417	-475.7508737159048	-1096.4791359357207	-5253.058001968762	231.63342360184419	1882.6474123511018	-1441.9239071069342	0.3244039803872208	1.6138049282485665	0.08760822325564992	0.08760822325564992	3.562170664465686	0.3244039803872208	0.001	0.14202613575347434	0.001	0.1011201702226896	0.16730391954101095	2.3114300089188315	0.04740121604400745	0.04740121604400745	3.2591597199111373	0.16730391954101095	0.10060048856217095	1.9891465131896182	0.24820754541485143	0.24820754541485143	3.31323741885634	0.10060048856217095	0.001	0.9031054039705855	192.42231264284126	-469.3449295043733	1.351706342786075	
3	-8267.211918727322	-7791.461045011417	-475.7508737159048	-1096.4791359357207	-5253.058001968762	231.63342360184419	1882.6474123511018	-1441.9239071069342	0.3244039803872208	1.6138049282485665	0.08760822325564992	0.08760822325564992	3.562170664465686	0.3244039803872208	0.001	0.14202613575347434	0.001	0.1011201702226896	0.16730391954101095	2.3114300089188315	0.04740121604400745	0.04740121604400745	3.2591597199111373	0.16730391954101095	0.10060048856217095	1.9891465131896182	0.24820754541485143	0.24820754541485143	3.31323741885634	0.10060048856217095	0.001	0.9031054039705855	192.42231264284126	-469.3449295043733	1.351706342786075	
4	-8267.211918727322	-7791.461045011417	-475.7508737159048	-1096.4791359357207	-5253.058001968762	231.63342360184419	1882.6474123511018	-1441.9239071069342	0.3244039803872208	1.6138049282485665	0.08760822325564992	0.08760822325564992	3.562170664465686	0.3244039803872208	0.001	0.14202613575347434	0.001	0.1011201702226896	0.16730391954101095	2.3114300089188315	0.04740121604400745	0.04740121604400745	3.2591597199111373	0.16730391954101095	0.10060048856217095	1.9891465131896182	0.24820754541485143	0.24820754541485143	3.31323741885634	0.10060048856217095	0.001	0.9031054039705855	192.42231264284126	-469.3449295043733	1.351706342786075	
5	-8267.211918727322	-7791.461045011417	-475.7508737159048	-1096.4791359357207	-5253.058001968762	231.63342360184419	1882.6474123511018	-1441.9239071069342	0.3244039803872208	1.6138049282485665	0.08760822325564992	0.08760822325564992	3.562170664465686	0.3244039803872208	0.001	0.14202613575347434	0.001	0.1011201702226896	0.16730391954101095	2.3114300089188315	0.04740121604400745	0.04740121604400745	3.2591597199111373	0.16730391954101095	0.10060048856217095	1.9891465131896182	0.24820754541485143	0.24820754541485143	3.31323741885634	0.10060048856217095	0.001	0.9031054039705855	192.42231264284126	-469.3449295043733	1.351706342786075	
6	-8267.211918727322	-7791.461045011417	-475.7508737159048	-1096.4791359357207	-5253.058001968762	231.63342360184419	1882.6474123511018	-1441.9239071069342	0.3244039803872208	1.6138049282485665	0.08760822325564992	0.08760822325564992	3.562170664465686	0.3244039803872208	0.001	0.14202613575347434	0.001	0.1011201702226896	0.16730391954101095	2.3114300089188315	0.04740121604400745	0.04740121604400745	3.2591597199111373	0.16730391954101095	0.10060048856217095	1.9891465131896182	0.24820754541485143	0.24820754541485143	3.31323741885634	0.10060048856217095	0.001	0.9031054039705855	192.42231264284126	-469.3449295043733	1.351706342786075	
7	-8267.017395051154	-7790.707893031104	-476.30950202004993	-1097.3238151197606	-5248.941497463726	244.09409694434646	1943.4165676697658	-1444.4425804476175	0.2693281351880708	1.801192410455999	0.06402544112378222	0.06402544112378222	3.532100436920289	0.2693281351880708	0.001	0.14202613575347434	0.001	0.10291643821137271	0.21402726142689477	2.125908152129221	0.07021211933633537	0.07021211933633537	3.3056130863443243	0.21402726142689477	0.18796530307807505	1.9521157334987653	0.20578860668967125	0.20578860668967125	3.260376446965745	0.18796530307807505	0.001	0.9031054039705855	165.92072519414998	-470.04994392689696	1.351706342786075	
8	-8267.017395051154	-7790.707893031104	-476.30950202004993	-1097.3238151197606	-5248.941497463726	244.09409694434646	1943.4165676697658	-1444.4425804476175	0.2693281351880708	1.801192410455999	0.06402544112378222	0.06402544112378222	3.532100436920289	0.2693281351880708	0.001	0.14202613575347434	0.001	0.10291643821137271	0.21402726142689477	2.125908152129221	0.07021211933633537	0.07021211933633537	3.3056130863443243	0.21402726142689477	0.18796530307807505	1.9521157334987653	0.20578860668967125	0.20578860668967125	3.260376446965745	0.18796530307807505	0.001	0.9031054039705855	165.92072519414998	-470.04994392689696	1.351706342786075	
9	-8267.017395051154	-7790.707893031104	-476.30950202004993	-1097.3238151197606	-5248.941497463726	244.09409694434646	1943.4165676697658	-1444.4425804476175	0.2693281351880708	1.801192410455999	0.06402544112378222	0.06402544112378222	3.532100436920289	0.2693281351880708	0.001	0.14202613575347434	0.001	0.10291643821137271	0.21402726142689477	2.125908152129221	0.07021211933633537	0.07021211933633537	3.3056130863443243	0.21402726142689477	0.18796530307807505	1.9521157334987653	0.20578860668967125	0.20578860668967125	3.260376446965745	0.18796530307807505	0.001	0.9031054039705855	165.92072519414998	-470.04994392689696	1.351706342786075	
10	-8261.990112763333	-7790.59263291461	-471.3974798487239	-1088.274187488714	-5257.193224712511	231.4488309174297	1805.8483283448318	-1445.1252207133841	0.22182817846600256	1.9081232913717665	0.10469552216470823	0.10469552216470823	3.4388293073668064	0.22182817846600256	0.001	0.14202613575347434	0.001	0.10291643821137271	0.1621789872295062	2.308805875934884	0.04266057577622871	0.04266057577622871	3.2815149980536518	0.1621789872295062	0.1436683973506492	1.9621325281113926	0.23747214477598905	0.23747214477598905	3.2755863876353337	0.1436683973506492	0.001	0.9031054039705855	166.2948279966898	-465.135669585514	1.351706342786075	
11	-8239.154930811763	-7789.436538421036	-449.7183923907277	-1092.0591801322685	-5255.2153329424955	210.83867977330092	1516.874374923829	-1442.1620253462715	0.2975022882490841	1.7357030346776106	0.017519134975227092	0.017519134975227092	3.6342541188737614	0.2975022882490841	0.001	0.12041234811347362	0.001	0.10291643821137271	0.06251107261338745	2.194129414082143	0.16576657431855152	0.16576657431855152	3.349315292053985	0.06251107261338745	0.14308206223252132	1.88798365447627	0.2002767933017278	0.2002767933017278	3.4252986344552347	0.14308206223252132	0.001	0.9031054039705855	127.34269256697387	-443.74507638136004	1.7087782034360905	
