Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	clockRate	rateAC.1	rateAG.1	rateAT.1	rateCG.1	rateGT.1	gammaShape.1	rateAC.2	rateAG.2	rateAT.2	rateCG.2	rateGT.2	freqParameter.2.1	freqParameter.2.2	freqParameter.2.3	freqParameter.2.4	rateAC.3	rateAG.3	rateAT.3	rateCG.3	rateGT.3	freqParameter.3.1	freqParameter.3.2	freqParameter.3.3	freqParameter.3.4	gammaShape.2	gammaShape.3	popSize	CoalescentConstant	freqParameter.1.1	freqParameter.1.2	freqParameter.1.3	freqParameter.1.4	mutationRate.3	mutationRate.1	mutationRate.2	
0	-11942.137671224766	-11545.067612006409	-397.0700592183568	-1878.9373815324557	-7384.027369335076	221.51593772721455	1537.2408769167712	-2282.1028611388783	2.9289939875069657	0.03560421433035857	0.047629740429971715	0.030633985605523113	0.007983960579191764	0.02701238061457016	0.2125373545465529	0.020044111019879518	0.06281701423171997	0.01947123281116916	6.264852736037502E-4	0.021087130922728497	0.35197859344282867	0.3075403728278972	0.12376564508469101	0.21671538864458276	2.7326929766945974E-7	0.7696777971718988	0.13752798072560551	0.06726911523772518	6.279916571404132E-15	0.2935781738637074	0.19771446909528956	0.19954410184332774	0.3091632551976755	0.11856039575474195	1.3895561499428135	104.58714414574183	-443.3216088370812	0.2804844968402003	0.22713584676391982	0.32311054795322364	0.16926910844265644	0.001	0.0010180275030878252	9.819379614656465E-4	
1	-11942.137671224766	-11545.067612006409	-397.0700592183568	-1878.9373815324557	-7384.027369335076	221.51593772721455	1537.2408769167712	-2282.1028611388783	2.9289939875069657	0.03560421433035857	0.047629740429971715	0.030633985605523113	0.007983960579191764	0.02701238061457016	0.2125373545465529	0.020044111019879518	0.06281701423171997	0.01947123281116916	6.264852736037502E-4	0.021087130922728497	0.35197859344282867	0.3075403728278972	0.12376564508469101	0.21671538864458276	2.7326929766945974E-7	0.7696777971718988	0.13752798072560551	0.06726911523772518	6.279916571404132E-15	0.2935781738637074	0.19771446909528956	0.19954410184332774	0.3091632551976755	0.11856039575474195	1.3895561499428135	104.58714414574183	-443.3216088370812	0.2804844968402003	0.22713584676391982	0.32311054795322364	0.16926910844265644	0.001	0.0010180275030878252	9.819379614656465E-4	
2	-11935.7633738875	-11543.46122110384	-392.30215278365904	-1881.344811868604	-7379.450764893524	232.00089274899062	1509.343783747474	-2282.6656443417132	2.9289939875069657	0.03514421057356114	0.047629740429971715	0.030902401360258246	0.014294460106733952	0.02701238061457016	0.2125373545465529	0.020044111019879518	0.08516031178780342	0.012192452048673266	5.551666762634725E-4	0.03517661927730814	0.35197859344282867	0.30324690074319444	0.12805911716939375	0.21671538864458276	5.045499716673421E-7	0.7696777971718988	0.13752798072560551	0.06726911523772518	6.279916571404132E-15	0.2840661624153971	0.19771446909528956	0.20905611329163798	0.3091632551976755	0.11856039575474195	1.3895561499428135	116.7614007408016	-437.19471307266855	0.2804844968402003	0.22713584676391982	0.32311054795322364	0.16926910844265644	0.001	0.0010180275030878252	9.819379614656465E-4	
3	-11935.7633738875	-11543.46122110384	-392.30215278365904	-1881.344811868604	-7379.450764893524	232.00089274899062	1509.343783747474	-2282.6656443417132	2.9289939875069657	0.03514421057356114	0.047629740429971715	0.030902401360258246	0.014294460106733952	0.02701238061457016	0.2125373545465529	0.020044111019879518	0.08516031178780342	0.012192452048673266	5.551666762634725E-4	0.03517661927730814	0.35197859344282867	0.30324690074319444	0.12805911716939375	0.21671538864458276	5.045499716673421E-7	0.7696777971718988	0.13752798072560551	0.06726911523772518	6.279916571404132E-15	0.2840661624153971	0.19771446909528956	0.20905611329163798	0.3091632551976755	0.11856039575474195	1.3895561499428135	116.7614007408016	-437.19471307266855	0.2804844968402003	0.22713584676391982	0.32311054795322364	0.16926910844265644	0.001	0.0010180275030878252	9.819379614656465E-4	
4	-11936.914075865792	-11542.783932200393	-394.1301436653998	-1877.25886396355	-7393.505603302284	244.33475668800511	1562.496598730453	-2272.0194649345576	2.9289939875069657	0.0370672246618597	0.060788666751295184	0.03474075113331062	0.007691265092851592	0.012799279336254738	0.159044320296202	0.020044111019879518	0.06281701423171997	0.012908455781063956	0.0022201841298534913	0.021427103977302273	0.3584113638642476	0.301010267893415	0.12620564636682152	0.21437272187551548	5.450254227501077E-8	0.7696777971718988	0.13752798072560551	0.07906734119003682	1.2123156623812132E-14	0.2870300599277247	0.1680227978309027	0.21509163096755976	0.3298555112738131	0.11856039575474195	1.3158509282463728	143.28536898105244	-440.3656103463088	0.264934594019373	0.22495364725106526	0.3349654473064917	0.17514631142307024	0.001	0.0010180275030878252	9.819379614656465E-4	
5	-11936.914075865792	-11542.783932200393	-394.1301436653998	-1877.25886396355	-7393.505603302284	244.33475668800511	1562.496598730453	-2272.0194649345576	2.9289939875069657	0.0370672246618597	0.060788666751295184	0.03474075113331062	0.007691265092851592	0.012799279336254738	0.159044320296202	0.020044111019879518	0.06281701423171997	0.012908455781063956	0.0022201841298534913	0.021427103977302273	0.3584113638642476	0.301010267893415	0.12620564636682152	0.21437272187551548	5.450254227501077E-8	0.7696777971718988	0.13752798072560551	0.07906734119003682	1.2123156623812132E-14	0.2870300599277247	0.1680227978309027	0.21509163096755976	0.3298555112738131	0.11856039575474195	1.3158509282463728	143.28536898105244	-440.3656103463088	0.264934594019373	0.22495364725106526	0.3349654473064917	0.17514631142307024	0.001	0.0010180275030878252	9.819379614656465E-4	
6	-11936.914075865792	-11542.783932200393	-394.1301436653998	-1877.25886396355	-7393.505603302284	244.33475668800511	1562.496598730453	-2272.0194649345576	2.9289939875069657	0.0370672246618597	0.060788666751295184	0.03474075113331062	0.007691265092851592	0.012799279336254738	0.159044320296202	0.020044111019879518	0.06281701423171997	0.012908455781063956	0.0022201841298534913	0.021427103977302273	0.3584113638642476	0.301010267893415	0.12620564636682152	0.21437272187551548	5.450254227501077E-8	0.7696777971718988	0.13752798072560551	0.07906734119003682	1.2123156623812132E-14	0.2870300599277247	0.1680227978309027	0.21509163096755976	0.3298555112738131	0.11856039575474195	1.3158509282463728	143.28536898105244	-440.3656103463088	0.264934594019373	0.22495364725106526	0.3349654473064917	0.17514631142307024	0.001	0.0010180275030878252	9.819379614656465E-4	
7	-11939.030722669468	-11542.511300308557	-396.5194223609101	-1878.1052083149225	-7388.707706972578	223.00056778345046	1522.8639483048437	-2275.6983850210554	2.9289939875069657	0.03641857900812012	0.061860243360308785	0.028597382845338987	0.007663595006297097	0.022536644741491873	0.159044320296202	0.01540904442676905	0.038766358847550614	0.025054843398712546	9.629962708707242E-4	0.03048774191843397	0.3686849712328733	0.28567921004670177	0.13126309684490908	0.21437272187551548	9.016861656198991E-7	0.7696777971718988	0.13752798072560551	0.07906734119003682	6.970718231692507E-15	0.2870300599277247	0.17105685250180355	0.22188758223315075	0.3200255053373212	0.11856039575474195	1.8152895408367695	117.57790640058376	-440.5893140257607	0.2706317393642973	0.219256501906141	0.3349654473064917	0.17514631142307024	0.001	0.0010180275030878252	9.819379614656465E-4	
8	-11942.718374918875	-11540.314672141369	-402.40370277750577	-1874.1906764768844	-7387.605991380708	234.6395632355227	1592.4107097451567	-2278.518004283777	2.8604851343127695	0.027713358503444564	0.05881850440396326	0.04047868707651724	0.012915884998183864	0.021343451224897683	0.159044320296202	0.01879989279245495	0.043697646503022915	0.010696816299285764	2.3467325988754244E-4	0.018147406298497856	0.38824314787295794	0.2650838539149958	0.1379493076138904	0.20872369059815551	4.02485569773427E-7	0.7696777971718988	0.13752798072560551	0.07906734119003682	8.85228913139839E-15	0.3078803058428904	0.17105685250180355	0.20103733631798504	0.3200255053373212	0.11856039575474195	1.6331863511034932	174.9027631336513	-448.5775969417703	0.2510724722101157	0.22881398440651318	0.3449672319603011	0.17514631142307024	0.001	0.0010180275030878252	9.819379614656465E-4	
9	-11932.616874157742	-11540.06972482668	-392.54714933106203	-1874.6945316200622	-7387.701673738541	206.21058286397354	1406.67053785046	-2277.6735194680778	2.9289939875069657	0.03442155065983604	0.07221008776525853	0.029722227798891557	0.007164342117407661	0.035556152563818985	0.159044320296202	0.028624893770877697	0.03967370746895446	0.01673884392610842	1.570858382457719E-4	0.048654651300102415	0.36265347052583125	0.2747552856549207	0.1370782991183428	0.22551294470090494	3.273359561497551E-6	0.7696777971718988	0.13752798072560551	0.13285937176062712	3.801101881903728E-15	0.3078803058428904	0.17105685250180355	0.20103733631798504	0.3200255053373212	0.11856039575474195	1.6331863511034932	129.49566824251525	-436.13402828994765	0.2510724722101157	0.21360707928192008	0.34964170226436103	0.1856787462436034	0.001	0.0010180275030878252	9.819379614656465E-4	
