Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	gammaShape.1	TrNfreqParameter.1.1	TrNfreqParameter.1.2	TrNfreqParameter.1.3	TrNfreqParameter.1.4	RateAC-Standard_TrN.1	RateAG-Standard_TrN.1	RateAT-Standard_TrN.1	RateCG-Standard_TrN.1	RateCT-Standard_TrN.1	RateGT-Standard_TrN.1	mutationRate.1	TrNfreqParameter.2.1	TrNfreqParameter.2.2	TrNfreqParameter.2.3	TrNfreqParameter.2.4	RateAC-Standard_TrN.2	RateAG-Standard_TrN.2	RateAT-Standard_TrN.2	RateCG-Standard_TrN.2	RateCT-Standard_TrN.2	RateGT-Standard_TrN.2	mutationRate.2	gammaShape.2	TrNfreqParameter.3.1	TrNfreqParameter.3.2	TrNfreqParameter.3.3	TrNfreqParameter.3.4	RateAC-Standard_TrN.3	RateAG-Standard_TrN.3	RateAT-Standard_TrN.3	RateCG-Standard_TrN.3	RateCT-Standard_TrN.3	RateGT-Standard_TrN.3	mutationRate.3	gammaShape.3	popSize	CoalescentConstant	
0	-5315.501484386142	-4817.483260690129	-498.0182236960128	-590.1800179058598	-3458.2825445318017	209.71705213021357	1685.4182733787768	-769.0206982524675	0.1	0.2841769799672694	0.16193712976269262	0.2832650415195646	0.27062084875047265	0.13720369525797566	3.2758206632606	0.13720369525797566	0.13720369525797566	2.175364555707502	0.13720369525797566	0.001	0.40853912494461975	0.1719278922267803	0.21124595585696718	0.2082870269716327	0.030692093234521177	2.13449708792861	0.030692093234521177	0.030692093234521177	3.742734539133298	0.030692093234521177	1.2360750121398392E-4	0.4194217134215749	0.29627620172285224	0.19380613914370842	0.18342788971731355	0.32648976941612534	0.16527382477606473	2.458883071378936	0.16527382477606473	0.16527382477606473	2.8800216295167975	0.16527382477606473	0.0018763924987860161	1.363149942412172	218.6062884383931	-490.74837969797755	
1	-5312.654086420617	-4810.479816681921	-502.17426973869664	-581.9236988422933	-3458.391375841252	205.76252306366098	1747.8421443573807	-770.164741998376	0.1	0.30911229310768173	0.18108128595105846	0.27182832129955564	0.23797809964170338	0.11306476650662824	3.326572298813203	0.11306476650662824	0.11306476650662824	2.2211686351602884	0.11306476650662824	0.001	0.4001872383270749	0.1731047154870069	0.2153137246795857	0.21139432150633236	0.06717294680784652	2.1620906730313005	0.06717294680784652	0.06717294680784652	3.569217539737306	0.06717294680784652	1.2360750121398392E-4	0.1	0.290665810980576	0.20104804658666495	0.17925679269417683	0.3290293497385819	0.1720188218227438	2.512799627043976	0.1720188218227438	0.1720188218227438	2.799125085665041	0.1720188218227438	0.0018763924987860161	1.363149942412172	256.3847713875233	-495.06444046696623	
2	-5312.654086420617	-4810.479816681921	-502.17426973869664	-581.9236988422933	-3458.391375841252	205.76252306366098	1747.8421443573807	-770.164741998376	0.1	0.30911229310768173	0.18108128595105846	0.27182832129955564	0.23797809964170338	0.11306476650662824	3.326572298813203	0.11306476650662824	0.11306476650662824	2.2211686351602884	0.11306476650662824	0.001	0.4001872383270749	0.1731047154870069	0.2153137246795857	0.21139432150633236	0.06717294680784652	2.1620906730313005	0.06717294680784652	0.06717294680784652	3.569217539737306	0.06717294680784652	1.2360750121398392E-4	0.1	0.290665810980576	0.20104804658666495	0.17925679269417683	0.3290293497385819	0.1720188218227438	2.512799627043976	0.1720188218227438	0.1720188218227438	2.799125085665041	0.1720188218227438	0.0018763924987860161	1.363149942412172	256.3847713875233	-495.06444046696623	
3	-5312.654086420617	-4810.479816681921	-502.17426973869664	-581.9236988422933	-3458.391375841252	205.76252306366098	1747.8421443573807	-770.164741998376	0.1	0.30911229310768173	0.18108128595105846	0.27182832129955564	0.23797809964170338	0.11306476650662824	3.326572298813203	0.11306476650662824	0.11306476650662824	2.2211686351602884	0.11306476650662824	0.001	0.4001872383270749	0.1731047154870069	0.2153137246795857	0.21139432150633236	0.06717294680784652	2.1620906730313005	0.06717294680784652	0.06717294680784652	3.569217539737306	0.06717294680784652	1.2360750121398392E-4	0.1	0.290665810980576	0.20104804658666495	0.17925679269417683	0.3290293497385819	0.1720188218227438	2.512799627043976	0.1720188218227438	0.1720188218227438	2.799125085665041	0.1720188218227438	0.0018763924987860161	1.363149942412172	256.3847713875233	-495.06444046696623	
4	-5313.654743672576	-4810.031272513161	-503.62347115941554	-581.0656018836556	-3457.2763928396625	215.5180636648356	1814.5397599892422	-771.6892777898427	0.1	0.30594409511357834	0.1878322657388543	0.2650773415117598	0.2411462976358068	0.12650610741491852	3.2536348544775677	0.12650610741491852	0.12650610741491852	2.2403407158627626	0.12650610741491852	0.001	0.4097430985933476	0.16380086592404716	0.20820118974457283	0.21825484573803222	0.04000666736620956	2.403450586339683	0.04000666736620956	0.04000666736620956	3.436522744195471	0.04000666736620956	1.2360750121398392E-4	0.1	0.28736981169393455	0.20214460468650927	0.19488527164907296	0.3156003119704829	0.175601754967803	2.3920748187028207	0.175601754967803	0.175601754967803	2.9055181614259595	0.175601754967803	0.0018763924987860161	1.363149942412172	222.0063795873698	-496.6576150986639	
5	-5313.654743672576	-4810.031272513161	-503.62347115941554	-581.0656018836556	-3457.2763928396625	215.5180636648356	1814.5397599892422	-771.6892777898427	0.1	0.30594409511357834	0.1878322657388543	0.2650773415117598	0.2411462976358068	0.12650610741491852	3.2536348544775677	0.12650610741491852	0.12650610741491852	2.2403407158627626	0.12650610741491852	0.001	0.4097430985933476	0.16380086592404716	0.20820118974457283	0.21825484573803222	0.04000666736620956	2.403450586339683	0.04000666736620956	0.04000666736620956	3.436522744195471	0.04000666736620956	1.2360750121398392E-4	0.1	0.28736981169393455	0.20214460468650927	0.19488527164907296	0.3156003119704829	0.175601754967803	2.3920748187028207	0.175601754967803	0.175601754967803	2.9055181614259595	0.175601754967803	0.0018763924987860161	1.363149942412172	222.0063795873698	-496.6576150986639	
6	-5308.517279573646	-4808.281376481584	-500.2359030920621	-582.1010871416692	-3456.044089921643	243.196740621783	1779.1689718168927	-770.1361994182712	0.1	0.30594409511357834	0.18968937457224297	0.24752361150939833	0.25684291880477966	0.17121634350278658	3.0246625936687064	0.17121634350278658	0.17121634350278658	2.2904720323201517	0.17121634350278658	0.001	0.40217421681031124	0.16684720318795127	0.21272373426370508	0.21825484573803222	0.007639430536445231	2.4914097440107112	0.007639430536445231	0.007639430536445231	3.4780325338435	0.007639430536445231	1.2360750121398392E-4	0.1	0.2918336774885485	0.20214460468650927	0.2123266607840001	0.2936950570409418	0.2013617373142787	2.294654071977862	0.2013617373142787	0.2013617373142787	2.8998989787650156	0.2013617373142787	0.0018763924987860161	1.363149942412172	198.61713944373864	-493.3813741004345	
7	-5308.517279573646	-4808.281376481584	-500.2359030920621	-582.1010871416692	-3456.044089921643	243.196740621783	1779.1689718168927	-770.1361994182712	0.1	0.30594409511357834	0.18968937457224297	0.24752361150939833	0.25684291880477966	0.17121634350278658	3.0246625936687064	0.17121634350278658	0.17121634350278658	2.2904720323201517	0.17121634350278658	0.001	0.40217421681031124	0.16684720318795127	0.21272373426370508	0.21825484573803222	0.007639430536445231	2.4914097440107112	0.007639430536445231	0.007639430536445231	3.4780325338435	0.007639430536445231	1.2360750121398392E-4	0.1	0.2918336774885485	0.20214460468650927	0.2123266607840001	0.2936950570409418	0.2013617373142787	2.294654071977862	0.2013617373142787	0.2013617373142787	2.8998989787650156	0.2013617373142787	0.0018763924987860161	1.363149942412172	198.61713944373864	-493.3813741004345	
8	-5302.396605548047	-4808.221523956067	-494.17508159197956	-582.4006039116973	-3462.5314160402263	183.5319672121712	1626.1340900289094	-763.2895040041436	0.1	0.2909032538837768	0.19346289378870335	0.2577567044221538	0.2578771479053653	0.2122877292265646	2.903041429757816	0.2122877292265646	0.2122877292265646	2.24780765333593	0.2122877292265646	0.001	0.40217421681031124	0.16055457385599808	0.2274041637970716	0.2098670455366189	0.007639430536445231	2.41161978598879	0.007639430536445231	0.007639430536445231	3.557822491865421	0.007639430536445231	1.2360750121398392E-4	0.15599339845644764	0.29176432516598816	0.20214460468650927	0.20660127455747104	0.29948979559003114	0.20014110188829423	2.2628501785667297	0.20014110188829423	0.20014110188829423	2.9365854138800853	0.20014110188829423	0.0018763924987860161	1.363149942412172	210.70303177796544	-487.20548854132994	
9	-5316.626386014313	-4807.83372042094	-508.79266559337236	-580.6387549252805	-3459.5281779332818	237.46561637185386	1986.0816793884624	-767.666787562378	0.1	0.2969476604107029	0.17649163202884505	0.2652167372405435	0.2613439703199078	0.14162754260325078	3.2636016512721433	0.14162754260325078	0.14162754260325078	2.1698881783148583	0.14162754260325078	0.001	0.3847864243787867	0.1592026281468424	0.23410141842386986	0.2219095290505009	0.028325752064340855	2.5340629206688803	0.028325752064340855	0.028325752064340855	3.3526340710737483	0.028325752064340855	1.2360750121398392E-4	0.13309943107465527	0.28468119390642316	0.2019128602336796	0.19817121403104265	0.31523473182885414	0.20014110188829423	2.1419548700074404	0.20014110188829423	0.20014110188829423	3.057480722439374	0.20014110188829423	0.0018763924987860161	1.431133458093908	276.44801300818386	-501.5064099189726	
