Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	clockRate	rateAC.1	rateAG.1	rateAT.1	rateCG.1	rateGT.1	gammaShape.1	rateAC.2	rateAG.2	rateAT.2	rateCG.2	rateGT.2	freqParameter.2.1	freqParameter.2.2	freqParameter.2.3	freqParameter.2.4	rateAC.3	rateAG.3	rateAT.3	rateCG.3	rateGT.3	freqParameter.3.1	freqParameter.3.2	freqParameter.3.3	freqParameter.3.4	gammaShape.2	gammaShape.3	popSize	CoalescentConstant	freqParameter.1.1	freqParameter.1.2	freqParameter.1.3	freqParameter.1.4	mutationRate.3	mutationRate.1	mutationRate.2	
0	-11922.700781125199	-11524.304029942698	-398.3967511825012	-1875.7802329705926	-7377.871177286966	251.83619560622714	1753.5325079821619	-2270.652619685139	2.5001466381471835	0.040726997355754434	0.08014569747143213	0.05056441283282157	0.00534735130160488	0.03625085522592181	0.19482059095777743	0.020418728885349176	0.04703393295734185	0.008603284079916059	7.3342827796695225E-6	0.02020634719727609	0.3913621223362233	0.2800981406877865	0.11446035837182757	0.21407937860416237	1.5146327264266592E-6	0.6166711614330486	0.114587581932192	0.07447207748536079	9.574200329703509E-18	0.2840987063750771	0.17176699555744776	0.2107744083315822	0.33335988973589314	0.10197463313725284	1.5238885296819722	129.13628763902912	-452.9601433269021	0.2734847028839949	0.23417030342689912	0.33971601317006056	0.15262898051904553	0.001	0.0010180275030878252	9.819379614656465E-4	
1	-11922.700781125199	-11524.304029942698	-398.3967511825012	-1875.7802329705926	-7377.871177286966	251.83619560622714	1753.5325079821619	-2270.652619685139	2.5001466381471835	0.040726997355754434	0.08014569747143213	0.05056441283282157	0.00534735130160488	0.03625085522592181	0.19482059095777743	0.020418728885349176	0.04703393295734185	0.008603284079916059	7.3342827796695225E-6	0.02020634719727609	0.3913621223362233	0.2800981406877865	0.11446035837182757	0.21407937860416237	1.5146327264266592E-6	0.6166711614330486	0.114587581932192	0.07447207748536079	9.574200329703509E-18	0.2840987063750771	0.17176699555744776	0.2107744083315822	0.33335988973589314	0.10197463313725284	1.5238885296819722	129.13628763902912	-452.9601433269021	0.2734847028839949	0.23417030342689912	0.33971601317006056	0.15262898051904553	0.001	0.0010180275030878252	9.819379614656465E-4	
2	-11922.700781125199	-11524.304029942698	-398.3967511825012	-1875.7802329705926	-7377.871177286966	251.83619560622714	1753.5325079821619	-2270.652619685139	2.5001466381471835	0.040726997355754434	0.08014569747143213	0.05056441283282157	0.00534735130160488	0.03625085522592181	0.19482059095777743	0.020418728885349176	0.04703393295734185	0.008603284079916059	7.3342827796695225E-6	0.02020634719727609	0.3913621223362233	0.2800981406877865	0.11446035837182757	0.21407937860416237	1.5146327264266592E-6	0.6166711614330486	0.114587581932192	0.07447207748536079	9.574200329703509E-18	0.2840987063750771	0.17176699555744776	0.2107744083315822	0.33335988973589314	0.10197463313725284	1.5238885296819722	129.13628763902912	-452.9601433269021	0.2734847028839949	0.23417030342689912	0.33971601317006056	0.15262898051904553	0.001	0.0010180275030878252	9.819379614656465E-4	
3	-11922.700781125199	-11524.304029942698	-398.3967511825012	-1875.7802329705926	-7377.871177286966	251.83619560622714	1753.5325079821619	-2270.652619685139	2.5001466381471835	0.040726997355754434	0.08014569747143213	0.05056441283282157	0.00534735130160488	0.03625085522592181	0.19482059095777743	0.020418728885349176	0.04703393295734185	0.008603284079916059	7.3342827796695225E-6	0.02020634719727609	0.3913621223362233	0.2800981406877865	0.11446035837182757	0.21407937860416237	1.5146327264266592E-6	0.6166711614330486	0.114587581932192	0.07447207748536079	9.574200329703509E-18	0.2840987063750771	0.17176699555744776	0.2107744083315822	0.33335988973589314	0.10197463313725284	1.5238885296819722	129.13628763902912	-452.9601433269021	0.2734847028839949	0.23417030342689912	0.33971601317006056	0.15262898051904553	0.001	0.0010180275030878252	9.819379614656465E-4	
4	-11930.170620058403	-11522.780393704175	-407.3902263542283	-1876.692180243853	-7372.844427982697	299.03621870576046	1962.7428482035245	-2273.2437854776254	2.44936150213107	0.03693306987326152	0.0594602270169414	0.04034557840464943	0.01613158110792796	0.026637882398901448	0.1627804035619111	0.024239621090006158	0.07077011485812759	0.015063881816495628	3.3199227297912486E-6	0.03159686765441882	0.37299454825163253	0.2725801595074148	0.11036244787643035	0.24406284436452205	2.0026479439127826E-7	0.7260123946098759	0.114587581932192	0.06412820528072635	4.08866383972774E-17	0.30624532389561526	0.17499787194381222	0.19954991306357503	0.31920689109699774	0.10197463313725284	1.5238885296819722	155.2311452981024	-461.3313611978708	0.2806639959101314	0.2072515479865397	0.35947009834070826	0.15261435776262083	0.001	0.0010180275030878252	9.819379614656465E-4	
5	-11930.170620058403	-11522.780393704175	-407.3902263542283	-1876.692180243853	-7372.844427982697	299.03621870576046	1962.7428482035245	-2273.2437854776254	2.44936150213107	0.03693306987326152	0.0594602270169414	0.04034557840464943	0.01613158110792796	0.026637882398901448	0.1627804035619111	0.024239621090006158	0.07077011485812759	0.015063881816495628	3.3199227297912486E-6	0.03159686765441882	0.37299454825163253	0.2725801595074148	0.11036244787643035	0.24406284436452205	2.0026479439127826E-7	0.7260123946098759	0.114587581932192	0.06412820528072635	4.08866383972774E-17	0.30624532389561526	0.17499787194381222	0.19954991306357503	0.31920689109699774	0.10197463313725284	1.5238885296819722	155.2311452981024	-461.3313611978708	0.2806639959101314	0.2072515479865397	0.35947009834070826	0.15261435776262083	0.001	0.0010180275030878252	9.819379614656465E-4	
6	-11930.170620058403	-11522.780393704175	-407.3902263542283	-1876.692180243853	-7372.844427982697	299.03621870576046	1962.7428482035245	-2273.2437854776254	2.44936150213107	0.03693306987326152	0.0594602270169414	0.04034557840464943	0.01613158110792796	0.026637882398901448	0.1627804035619111	0.024239621090006158	0.07077011485812759	0.015063881816495628	3.3199227297912486E-6	0.03159686765441882	0.37299454825163253	0.2725801595074148	0.11036244787643035	0.24406284436452205	2.0026479439127826E-7	0.7260123946098759	0.114587581932192	0.06412820528072635	4.08866383972774E-17	0.30624532389561526	0.17499787194381222	0.19954991306357503	0.31920689109699774	0.10197463313725284	1.5238885296819722	155.2311452981024	-461.3313611978708	0.2806639959101314	0.2072515479865397	0.35947009834070826	0.15261435776262083	0.001	0.0010180275030878252	9.819379614656465E-4	
7	-11930.170620058403	-11522.780393704175	-407.3902263542283	-1876.692180243853	-7372.844427982697	299.03621870576046	1962.7428482035245	-2273.2437854776254	2.44936150213107	0.03693306987326152	0.0594602270169414	0.04034557840464943	0.01613158110792796	0.026637882398901448	0.1627804035619111	0.024239621090006158	0.07077011485812759	0.015063881816495628	3.3199227297912486E-6	0.03159686765441882	0.37299454825163253	0.2725801595074148	0.11036244787643035	0.24406284436452205	2.0026479439127826E-7	0.7260123946098759	0.114587581932192	0.06412820528072635	4.08866383972774E-17	0.30624532389561526	0.17499787194381222	0.19954991306357503	0.31920689109699774	0.10197463313725284	1.5238885296819722	155.2311452981024	-461.3313611978708	0.2806639959101314	0.2072515479865397	0.35947009834070826	0.15261435776262083	0.001	0.0010180275030878252	9.819379614656465E-4	
8	-11924.191947241166	-11522.716141883655	-401.4758053575114	-1878.0344096044132	-7376.805413827664	249.92361898338964	1786.4407182814539	-2267.8763184515788	2.44936150213107	0.03612815668543098	0.0594602270169414	0.0355627587696064	9.649857046304061E-4	0.034754449839317414	0.1627804035619111	0.015803113412968698	0.0830483780205206	0.011214129569092702	9.91293512276109E-6	0.020093134809712747	0.38911885521079154	0.2829166924506256	0.11425334980024801	0.21371110253833459	5.995640841322456E-8	0.7260123946098759	0.114587581932192	0.09334751136151277	7.212085275972714E-17	0.2895016948057136	0.17499787194381222	0.19954991306357503	0.3359505201868994	0.10197463313725284	1.5238885296819722	152.69707340023038	-458.0819415843879	0.2806639959101314	0.21799427567648424	0.3556460867224458	0.1456956416909387	0.001	0.0010180275030878252	9.819379614656465E-4	
9	-11931.13477706998	-11521.363685813332	-409.77109125664674	-1875.9709601592947	-7370.322073240929	304.6572393175192	1978.8003075498523	-2275.0706524131097	2.34431029216127	0.0575526761507724	0.08374757962217025	0.052768029293513576	0.011302117616602526	0.0166947181311839	0.1627804035619111	0.023080791866446675	0.06247113815945182	0.017676856084748713	9.9560656207281E-7	0.033296019689851485	0.36915708139920556	0.2697438476838382	0.11800420579843857	0.24309486511851738	5.620059827920339E-7	0.7260123946098759	0.114587581932192	0.09334751136151277	4.917417291499348E-17	0.30624532389561526	0.17904552833962803	0.1896708626898968	0.32503828507486016	0.12119350685418444	1.5238885296819722	165.61061007158395	-462.94435589054706	0.2687823937320646	0.21506955174082334	0.37681227964825054	0.13933577487886173	0.001	0.0010180275030878252	9.819379614656465E-4	
