OR427988.1	MK059949.1	82.043	323	58	0	1	323	4328	4650	1.48e-77	276
OR427987.1	MK059949.1	81.734	323	59	0	1	323	4328	4650	6.87e-76	270
OR427986.1	MK059949.1	83.086	337	51	4	1	334	4328	4661	2.43e-85	302
OR427985.1	MK059949.1	84.969	326	46	1	1	323	4328	4653	3.98e-93	327
OR427984.1	MK059949.1	93.603	469	30	0	1	469	3646	4114	0.0	701
OR427983.1	MK059949.1	92.412	514	39	0	1	514	3607	4120	0.0	734
OR427982.1	MK059949.1	93.629	361	23	0	1	361	3613	3973	5.14e-157	540
OR427981.1	MK059949.1	92.629	502	37	0	1	502	3604	4105	0.0	723
OR427980.1	MK059949.1	91.841	478	39	0	1	478	3637	4114	0.0	667
OR427979.1	MK059949.1	84.232	482	74	2	1	481	3643	4123	3.31e-135	468
PP916236.1	MK059949.1	95.213	4324	207	0	2191	6514	2448	6771	0.0	6839
PP916236.1	MK059949.1	92.606	2191	162	0	1	2191	303	2493	0.0	3149
PP901928.1	MK059949.1	86.432	6014	781	28	13	6010	1	5995	0.0	6553
PP901928.1	MK059949.1	79.024	410	58	19	6405	6804	6380	6771	4.09e-70	255
PP901927.1	MK059949.1	86.408	6011	782	28	20	6014	4	5995	0.0	6541
PP901927.1	MK059949.1	79.024	410	58	19	6409	6808	6380	6771	4.08e-70	255
PP901926.1	MK059949.1	87.392	5647	670	28	1	5633	11	5629	0.0	6445
PP901926.1	MK059949.1	94.059	101	5	1	6624	6724	6668	6767	5.44e-39	152
OR690946.1	MK059949.1	83.830	470	73	1	1	467	4328	4797	5.54e-128	444
OR690945.1	MK059949.1	83.830	470	73	1	1	467	4328	4797	5.54e-128	444
OR690944.1	MK059949.1	81.316	471	83	3	1	467	4328	4797	5.70e-108	377
OR690943.1	MK059949.1	81.953	471	80	3	1	467	4328	4797	5.66e-113	394
OR690942.1	MK059949.1	83.652	471	75	2	1	470	4328	4797	2.01e-127	442
OR690941.1	MK059949.1	82.803	471	79	2	1	470	4328	4797	9.40e-121	420
OR690940.1	MK059949.1	82.328	464	82	0	1	464	4328	4791	2.63e-116	405
OR690939.1	MK059949.1	82.655	467	81	0	1	467	4328	4794	4.37e-119	414
OR690938.1	MK059949.1	81.250	464	87	0	1	464	4328	4791	2.06e-107	375
OR690937.1	MK059949.1	96.660	479	16	0	1	479	4328	4806	0.0	797
OR690936.1	MK059949.1	95.825	479	20	0	1	479	4328	4806	0.0	774
OR690935.1	MK059949.1	96.451	479	17	0	1	479	4328	4806	0.0	791
OR690934.1	MK059949.1	95.825	479	20	0	1	479	4328	4806	0.0	778
OR690933.1	MK059949.1	96.660	479	16	0	1	479	4328	4806	0.0	797
OR690932.1	MK059949.1	96.868	479	15	0	1	479	4328	4806	0.0	802
OR690931.1	MK059949.1	96.868	479	15	0	1	479	4328	4806	0.0	802
OR670615.1	MK059949.1	84.587	545	81	1	1	542	4249	4793	2.89e-156	538
OR670614.1	MK059949.1	83.652	471	74	1	1	468	4327	4797	7.17e-127	440
OR670613.1	MK059949.1	83.864	471	73	1	1	468	4327	4797	1.54e-128	446
OR670612.1	MK059949.1	83.697	595	97	0	1	595	4249	4843	1.84e-163	562
OR670611.1	MK059949.1	82.366	465	82	0	1	465	4327	4791	2.64e-116	405
OR670610.1	MK059949.1	82.692	468	81	0	1	468	4327	4794	1.22e-119	416
OR670609.1	MK059949.1	81.780	472	81	3	1	468	4327	4797	7.34e-112	390
OR670608.1	MK059949.1	82.594	609	101	3	1	605	4253	4860	1.47e-154	532
OR670607.1	MK059949.1	82.594	609	101	3	1	605	4253	4860	1.47e-154	532
OR670606.1	MK059949.1	96.875	480	15	0	1	480	4327	4806	0.0	804
OR670605.1	MK059949.1	96.458	480	17	0	1	480	4327	4806	0.0	793
OR670604.1	MK059949.1	96.673	571	19	0	1	571	4250	4820	0.0	950
OR873548.1	MK059949.1	80.000	575	109	2	1	575	4328	4896	1.13e-120	420
OR873547.1	MK059949.1	80.174	575	108	2	1	575	4328	4896	2.43e-122	425
OR873546.1	MK059949.1	80.174	575	108	2	1	575	4328	4896	2.43e-122	425
OR873545.1	MK059949.1	92.105	570	45	0	1	570	4328	4897	0.0	804
OR873544.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873543.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873542.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873541.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873540.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873539.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873538.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873537.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873536.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873535.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873534.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873533.1	MK059949.1	95.965	570	23	0	1	570	4328	4897	0.0	926
OR873532.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873531.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873530.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873529.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873528.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873527.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873526.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873525.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873524.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873523.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873522.1	MK059949.1	95.614	570	25	0	1	570	4328	4897	0.0	915
OR873521.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873520.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873519.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873518.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873517.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873516.1	MK059949.1	95.789	570	24	0	1	570	4328	4897	0.0	920
OR873485.1	MK059949.1	91.092	348	31	0	1	348	3640	3987	1.83e-136	472
OR873484.1	MK059949.1	91.379	348	30	0	1	348	3640	3987	3.93e-138	477
OR873483.1	MK059949.1	91.379	348	30	0	1	348	3640	3987	3.93e-138	477
OR873482.1	MK059949.1	95.402	348	16	0	1	348	3640	3987	1.77e-161	555
OR873481.1	MK059949.1	95.402	348	16	0	1	348	3640	3987	1.77e-161	555
OR873480.1	MK059949.1	95.402	348	16	0	1	348	3640	3987	1.77e-161	555
OR873479.1	MK059949.1	94.828	348	18	0	1	348	3640	3987	3.82e-158	544
OR873478.1	MK059949.1	94.828	348	18	0	1	348	3640	3987	3.82e-158	544
OR873477.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873476.1	MK059949.1	94.540	348	19	0	1	348	3640	3987	1.78e-156	538
OR873475.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873474.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873473.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873472.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873471.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873470.1	MK059949.1	94.253	348	20	0	1	348	3640	3987	8.28e-155	532
OR873469.1	MK059949.1	93.966	348	21	0	1	348	3640	3987	3.85e-153	527
OR873468.1	MK059949.1	93.966	348	21	0	1	348	3640	3987	3.85e-153	527
OR873467.1	MK059949.1	91.379	348	30	0	1	348	3640	3987	3.93e-138	477
OR792802.1	MK059949.1	86.028	6005	797	33	2	5986	13	5995	0.0	6403
OR792802.1	MK059949.1	79.512	410	56	20	6381	6780	6380	6771	1.88e-73	267
OR448832.1	MK059949.1	86.090	5672	762	23	1	5656	26	5686	0.0	6078
