Sample	posterior	likelihood	prior	treeLikelihood.2	treeLikelihood.3	Tree.height	Tree.treeLength	treeLikelihood.1	rateAC.1	rateAG.1	rateAT.1	rateCG.1	rateGT.1	gammaShape.1	rateAC.2	rateAG.2	rateAT.2	rateCG.2	rateGT.2	freqParameter.2.1	freqParameter.2.2	freqParameter.2.3	freqParameter.2.4	rateAC.3	rateAG.3	rateAT.3	rateCG.3	rateGT.3	freqParameter.3.1	freqParameter.3.2	freqParameter.3.3	freqParameter.3.4	gammaShape.2	gammaShape.3	popSize	CoalescentConstant	freqParameter.1.1	freqParameter.1.2	freqParameter.1.3	freqParameter.1.4	mutationRate.3	mutationRate.1	mutationRate.2	
0	-11924.131677714237	-11427.737742280682	-496.3939354335538	-1867.2262934947619	-7242.856951354343	496.24092834381327	3552.012410208212	-2317.654497431577	0.11105075614190095	0.20260200168282003	5.6694107250891324E-11	0.06061480044745585	4.74444771746815E-11	0.20804449311257678	0.0211129796291049	0.0660869802377596	0.017714252446337245	0.023388109698308117	1.3168743412735348E-5	0.33100674197152397	0.2783684050567157	0.1436417240339963	0.24698312893776408	0.06745723998742892	0.7573526619257342	0.06431891172190564	0.012506736519106207	0.07201421121168096	0.3090117884127753	0.16982597562710647	0.1877121245037765	0.3334501114563419	0.11697018865407807	1.842290755440428	411.4853255245792	-540.3396034225261	0.2590795118134217	0.19509992227378306	0.3440812623690003	0.201739303543795	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
1	-11910.12784841837	-11408.26768201858	-501.8601663997883	-1862.4560919340154	-7232.63619009509	446.8859868899925	3416.076436524161	-2313.1753999894745	0.08419125009505696	0.08844690395411173	1.640238917616282E-11	0.03034914517107819	2.1165385594262687E-10	0.1863529390814793	0.02587571681126439	0.10657242380721266	0.013421883958857427	0.003994722474622941	0.010282613272086202	0.35228266235889305	0.2589266816056988	0.13290586381847638	0.2558847922169317	0.06427916460011553	0.7573526619257342	0.08272174276357587	0.01643214482112442	0.06461115092501245	0.28225385421548715	0.17393559342415996	0.21000425151231422	0.3338063008480388	0.12693030221062543	1.8065434447682813	593.765438712649	-541.6644301681188	0.26373095079321585	0.214379172770809	0.32324879289075453	0.19864108354522078	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
2	-11910.12784841837	-11408.26768201858	-501.8601663997883	-1862.4560919340154	-7232.63619009509	446.8859868899925	3416.076436524161	-2313.1753999894745	0.08419125009505696	0.08844690395411173	1.640238917616282E-11	0.03034914517107819	2.1165385594262687E-10	0.1863529390814793	0.02587571681126439	0.10657242380721266	0.013421883958857427	0.003994722474622941	0.010282613272086202	0.35228266235889305	0.2589266816056988	0.13290586381847638	0.2558847922169317	0.06427916460011553	0.7573526619257342	0.08272174276357587	0.01643214482112442	0.06461115092501245	0.28225385421548715	0.17393559342415996	0.21000425151231422	0.3338063008480388	0.12693030221062543	1.8065434447682813	593.765438712649	-541.6644301681188	0.26373095079321585	0.214379172770809	0.32324879289075453	0.19864108354522078	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
3	-11910.12784841837	-11408.26768201858	-501.8601663997883	-1862.4560919340154	-7232.63619009509	446.8859868899925	3416.076436524161	-2313.1753999894745	0.08419125009505696	0.08844690395411173	1.640238917616282E-11	0.03034914517107819	2.1165385594262687E-10	0.1863529390814793	0.02587571681126439	0.10657242380721266	0.013421883958857427	0.003994722474622941	0.010282613272086202	0.35228266235889305	0.2589266816056988	0.13290586381847638	0.2558847922169317	0.06427916460011553	0.7573526619257342	0.08272174276357587	0.01643214482112442	0.06461115092501245	0.28225385421548715	0.17393559342415996	0.21000425151231422	0.3338063008480388	0.12693030221062543	1.8065434447682813	593.765438712649	-541.6644301681188	0.26373095079321585	0.214379172770809	0.32324879289075453	0.19864108354522078	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
4	-11910.12784841837	-11408.26768201858	-501.8601663997883	-1862.4560919340154	-7232.63619009509	446.8859868899925	3416.076436524161	-2313.1753999894745	0.08419125009505696	0.08844690395411173	1.640238917616282E-11	0.03034914517107819	2.1165385594262687E-10	0.1863529390814793	0.02587571681126439	0.10657242380721266	0.013421883958857427	0.003994722474622941	0.010282613272086202	0.35228266235889305	0.2589266816056988	0.13290586381847638	0.2558847922169317	0.06427916460011553	0.7573526619257342	0.08272174276357587	0.01643214482112442	0.06461115092501245	0.28225385421548715	0.17393559342415996	0.21000425151231422	0.3338063008480388	0.12693030221062543	1.8065434447682813	593.765438712649	-541.6644301681188	0.26373095079321585	0.214379172770809	0.32324879289075453	0.19864108354522078	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
5	-11894.4670079233	-11406.678231322518	-487.78877660078166	-1854.6522065342306	-7245.315006066525	460.5412308121844	3327.5706303495485	-2306.7110187217627	0.06978470488001896	0.061976285529748175	5.855195993243624E-14	0.022522954954583833	7.163988183478549E-11	0.18651013829894558	0.02901986271777398	0.09147904702889516	0.018154900799781028	0.006014105048335215	0.025682197530366657	0.3591974167857205	0.27541606727607204	0.11351004159928411	0.25187647433892324	0.05794288125011565	0.7573526619257342	0.07165699264259158	0.010930389165473876	0.08237146697392844	0.2987828278430025	0.16613440810687682	0.18191684917700063	0.3531659148731202	0.11697018865407807	1.8065434447682813	405.2686976543089	-533.3597179074417	0.26325837734561347	0.18410871723273242	0.3535211545149869	0.19911175090666725	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
6	-11894.4670079233	-11406.678231322518	-487.78877660078166	-1854.6522065342306	-7245.315006066525	460.5412308121844	3327.5706303495485	-2306.7110187217627	0.06978470488001896	0.061976285529748175	5.855195993243624E-14	0.022522954954583833	7.163988183478549E-11	0.18651013829894558	0.02901986271777398	0.09147904702889516	0.018154900799781028	0.006014105048335215	0.025682197530366657	0.3591974167857205	0.27541606727607204	0.11351004159928411	0.25187647433892324	0.05794288125011565	0.7573526619257342	0.07165699264259158	0.010930389165473876	0.08237146697392844	0.2987828278430025	0.16613440810687682	0.18191684917700063	0.3531659148731202	0.11697018865407807	1.8065434447682813	405.2686976543089	-533.3597179074417	0.26325837734561347	0.18410871723273242	0.3535211545149869	0.19911175090666725	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
7	-11894.4670079233	-11406.678231322518	-487.78877660078166	-1854.6522065342306	-7245.315006066525	460.5412308121844	3327.5706303495485	-2306.7110187217627	0.06978470488001896	0.061976285529748175	5.855195993243624E-14	0.022522954954583833	7.163988183478549E-11	0.18651013829894558	0.02901986271777398	0.09147904702889516	0.018154900799781028	0.006014105048335215	0.025682197530366657	0.3591974167857205	0.27541606727607204	0.11351004159928411	0.25187647433892324	0.05794288125011565	0.7573526619257342	0.07165699264259158	0.010930389165473876	0.08237146697392844	0.2987828278430025	0.16613440810687682	0.18191684917700063	0.3531659148731202	0.11697018865407807	1.8065434447682813	405.2686976543089	-533.3597179074417	0.26325837734561347	0.18410871723273242	0.3535211545149869	0.19911175090666725	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
8	-11894.4670079233	-11406.678231322518	-487.78877660078166	-1854.6522065342306	-7245.315006066525	460.5412308121844	3327.5706303495485	-2306.7110187217627	0.06978470488001896	0.061976285529748175	5.855195993243624E-14	0.022522954954583833	7.163988183478549E-11	0.18651013829894558	0.02901986271777398	0.09147904702889516	0.018154900799781028	0.006014105048335215	0.025682197530366657	0.3591974167857205	0.27541606727607204	0.11351004159928411	0.25187647433892324	0.05794288125011565	0.7573526619257342	0.07165699264259158	0.010930389165473876	0.08237146697392844	0.2987828278430025	0.16613440810687682	0.18191684917700063	0.3531659148731202	0.11697018865407807	1.8065434447682813	405.2686976543089	-533.3597179074417	0.26325837734561347	0.18410871723273242	0.3535211545149869	0.19911175090666725	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
9	-11890.988697427774	-11401.072942702518	-489.91575472525597	-1859.9417486425132	-7232.181240526177	474.31204864148674	3538.1415724922795	-2308.949953533828	0.062065188438377196	0.05702815910866922	2.6872484000320214E-15	0.04290275920430679	1.6341162315063234E-11	0.18579631793969448	0.027496305395225105	0.060652308880315114	0.01496124104991278	0.0024944868459598627	0.025061188158675127	0.3517758027792679	0.28287269527983466	0.11609175542579662	0.2492597465151007	0.055403988758527194	0.7573526619257342	0.07165699264259158	0.011320997846243807	0.06658551582104058	0.29195007027810577	0.16613440810687682	0.19486014219101666	0.3470553794240009	0.11697018865407807	1.8065434447682813	460.1964837988627	-540.8197114309374	0.3165560007682161	0.1478996861306972	0.34187872857590224	0.1936655845251845	0.001145340482825801	8.410478201545937E-4	0.0010139162031112632	
